,count,mean,median,mode,std_dev,variance,skewness,kurtosis,min,max,range,iqr,cv,missing_pct
Overall_Growth,15.0,4.788633333333334,4.2385,1.682,2.530463074974524,6.403243373809523,1.865019901676263,4.4383867506770445,1.682,12.089,10.407,1.8864999999999998,52.84311616343961,0.0
Volatility,15.0,1.419580299495542,1.4539387520583,1.05449551420273,0.2362206371615043,0.055800189420987065,0.09640530394243145,-0.638107315423246,1.05449551420273,1.87585005292338,0.82135453872065,0.38600868826980506,16.640174370230902,0.0
Recovery_Rate,15.0,4.8435000000000015,4.17916666666667,1.6875,2.5750035868367687,6.630643472222225,1.9209320928929934,4.689229461600632,1.6875,12.345,10.6575,1.7425000000000002,53.16410832738243,0.0
